"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-103.73	25.46	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.91	32.62	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.5	31.47	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.47	34.18	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.01	37.3	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-115.6	30.83	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.02	37.31	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.85	34.31	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.57	36.11	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.13	31.91	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.51	39.35	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.43	38.85	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.52	26.66	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-114.02	37.14	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.49	36.45	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.45	32.1	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.48	33.91	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.6	33.81	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.22	37.86	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.17	41.36	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.16	32.47	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.13	34	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-91.88	34.89	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.01	42.82	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.21	38.98	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.24	34.06	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-115.97	31.12	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-115.97	31.12	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.45	38.86	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.77	41.12	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.9	33.78	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.81	35.13	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.55	26.59	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.17	38.99	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.96	44.8	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-90.7	38.7	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.14	31.91	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.07	33.74	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.13	33.62	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-110	27.45	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.24	34.18	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.85	36.7	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.18	31.45	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.96	44.79	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.48	39.34	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.68	32.44	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.01	37.22	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-112.8	32.02	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.45	44.77	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.18	34.08	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.08	32.87	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.98	32.67	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.75	29.21	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.19	41.85	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.28	34.17	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.89	33.31	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.36	39.51	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.62	40	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.7	25.46	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.81	32.79	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.06	44.39	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.14	31.4	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.44	38.86	"unknown"	0	0	0	0	0	"none"
