"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-100.95	29.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.96	29.5	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-101.56	29.81	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.11	30.04	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.75	29.26	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-101.15	29.97	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-101.36	29.7	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.93	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.64	30.57	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.62	29.16	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.21	29.33	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.07	30.86	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.31	30.94	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-101.01	29.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.72	30.96	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.95	30.2	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.6	29.16	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.79	29.34	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.43	29.27	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.42	29.28	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.42	29.31	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.4	29.5	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.9	29.37	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.78	29.35	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.64	30.36	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.64	30	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.42	29.3	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.54	29.32	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.3	29.53	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-101.15	29.8	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.79	30.89	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.55	29.34	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.5	30	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.03	29.33	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.42	29.63	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.41	29.43	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.62	29.31	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.37	29.21	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.51	29.84	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.98	29.46	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.66	30.37	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.58	29.16	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.45	30.53	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.25	30.21	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.24	30.2	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.94	30.6	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.26	30.17	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.47	29.49	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.34	29.86	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.14	29.27	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.96	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.45	29.52	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.3	29.95	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.57	30.25	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.45	29.61	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.66	29.81	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.02	29.87	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.85	29.85	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.32	29.87	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.89	29.96	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.97	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.21	29.32	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.28	29.27	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.8	29.43	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.34	29.28	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101	29.9	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.93	30.6	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.8	30.54	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.92	29.2	"unknown"	1	0	0	0	1	"medius"
