"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"bilineata"	"belvederei"	"deserticola"	"grisea"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata"	-100.6	26.48	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.79	26.44	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.15	26.58	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.21	27.66	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.11	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.61	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.6	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.53	26.57	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.16	26.29	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.64	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.5	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.5	27.02	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.51	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.73	26.35	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.94	26.13	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.14	26.58	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.3	26.94	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.09	26.49	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.15	26.59	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.26	27.3	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.68	25.74	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.11	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.82	27.41	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.13	26.56	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.79	26.88	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.53	26.27	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.49	26.34	"unknown"	1	0	0	0	0	1	"bangsi"
