"name"	"longitude"	"latitude"	"subspecies"
"Geococcyx californianus (Lesson, 1829)"	-118.956144	34.151983	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.9544	29.180163	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.135826	36.515667	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.103713	32.540506	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.097131	34.318849	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.265047	36.321223	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.028056	31.839131	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.018308	36.102614	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.766364	33.781103	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.511838	29.418159	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.4088	33.7804	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.060947	33.340337	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.69327	23.053025	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.727358	33.547847	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.098888	32.897337	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.721215	33.548791	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.170487	37.086222	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.001573	36.076672	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.735413	33.363567	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.305376	33.658497	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.735467	33.363547	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.272944	34.346005	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.953947	34.616547	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.996943	36.077385	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.356256	33.238606	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.391667	34.458578	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.015465	32.22685	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-120.601886	35.856387	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.536718	33.810735	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.537045	33.818055	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.071422	28.944873	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-101.934124	34.914564	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.808016	28.002275	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.765575	33.784498	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.763491	33.784297	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.109245	36.066845	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.10936	36.06688	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.234199	32.402924	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.137579	26.580051	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.512536	35.044032	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.695391	24.78373	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.950339	22.894948	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.786963	33.26965	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.251847	33.144619	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.691487	24.796311	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.735413	33.363567	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.192085	34.432456	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.351763	32.549998	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.351763	32.549998	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.351763	32.549998	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.351763	32.549998	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.300968	29.269964	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.845964	33.639378	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.845964	33.639378	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-100.467543	25.180801	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.743061	30.267153	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.56037	32.934511	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.480118	33.154741	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.755504	33.90052	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-101.052797	34.421122	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.481246	33.827143	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.864262	22.929538	"unknown"
