"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.129085553168259" "0.265410613251082"
"2" "affinis" "brunneicapillus" "0.338518510399334" "0.585463914729411"
"3" "affinis" "bryanti" "0.138159397160991" "0.308665458010307"
"4" "affinis" "guttatus" "0.276806779054729" "0.46258958288861"
"5" "affinis" "sandiegensis" "0.035787769606816" "0.163731339232229"
"6" "affinis" "seri" "0.00485056109930515" "0.069170061248091"
"7" "anthonyi" "brunneicapillus" "0.258108204296113" "0.318161275931398"
"8" "anthonyi" "bryanti" "0.335958071089786" "0.53085776576043"
"9" "anthonyi" "guttatus" "0.385939680520163" "0.499393825260441"
"10" "anthonyi" "sandiegensis" "0.152042446634735" "0.353745402134048"
"11" "anthonyi" "seri" "0.0181861569733698" "0.13369332671437"
"12" "brunneicapillus" "bryanti" "0.206482312749592" "0.306639452199181"
"13" "brunneicapillus" "guttatus" "0.208963778539719" "0.296680869114394"
"14" "brunneicapillus" "sandiegensis" "0.0397558987475167" "0.150158719653846"
"15" "brunneicapillus" "seri" "0.0264043832095394" "0.161431035662797"
"16" "bryanti" "guttatus" "0.446527753286742" "0.645527844898004"
"17" "bryanti" "sandiegensis" "0.559511039347261" "0.716336731017249"
"18" "bryanti" "seri" "0.00871790210157697" "0.0693150256636798"
"19" "guttatus" "sandiegensis" "0.244711912421812" "0.463454863215743"
"20" "guttatus" "seri" "0.00988670048580353" "0.0986220882900538"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
