"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"brunneicapillus"	"anthonyi"	"bryanti"	"guttatus"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.05	33.78	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.99	33.36	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.8	33.69	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.64	33.85	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-106.48	35.07	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.77	33.24	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.06	19.59	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.22	23.45	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.05	33.77	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.48	33.35	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.48	33.36	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-97.47	26.02	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.93	33.53	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.49	33.38	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.53	25.86	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.81	22.95	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.48	33.46	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.35	27.49	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-98.82	26.49	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-113.46	31.28	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.83	33.78	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.02	33.6	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.93	33.41	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.15	34.06	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.01	33.83	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.02	33.82	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.81	33.72	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.97	33.66	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.64	30.35	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.42	35.05	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.92	33.65	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.78	34.2	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.81	31.94	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-101.07	25.3	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.25	33.83	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.15	33.68	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.34	26.01	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.5	33.57	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.68	33.4	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.96	33.88	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.8	31.95	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.21	33.66	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.83	30.54	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.84	30.67	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.88	33.55	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.11	23.75	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.45	27.54	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.42	29.29	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.3	29.27	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.81	32.03	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.82	32	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.43	33.34	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.07	19.59	"unknown"	0	0	0	0	0	0	0	"none"
