"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.28	24.23	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.21	29.33	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.04	34.13	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.82	33.38	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.42	28.32	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.54	33.44	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.09	34.57	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.73	32.28	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-102.9	21.18	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.2	34.67	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-98.33	26.19	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.88	33.51	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.08	32.28	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.24	23.44	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.49	24.93	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.95	33.22	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.74	32.28	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.16	34.09	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.64	33.17	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-107.61	32.19	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.39	24.91	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.4	33.74	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.41	33.74	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.94	33.43	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.42	24.9	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.01	32.54	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-107.47	32.21	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-101.11	19.96	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.44	34.12	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.41	33.67	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.95	33.46	"unknown"	0	0	0	"none"
