"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.18109352431172" "0.315194771276455"
"2" "affinis" "brunneicapillus" "0.394119376197886" "0.643191222663425"
"3" "affinis" "bryanti" "0.201474415281885" "0.379961981826719"
"4" "affinis" "guttatus" "0.32212777319681" "0.492981475011768"
"5" "affinis" "sandiegensis" "0.0553660740566477" "0.199764582280992"
"6" "affinis" "seri" "0.0112600135199632" "0.104324133066535"
"7" "anthonyi" "brunneicapillus" "0.253141765817358" "0.310668167006612"
"8" "anthonyi" "bryanti" "0.353845057974022" "0.539539389683625"
"9" "anthonyi" "guttatus" "0.397632777062818" "0.509192770606661"
"10" "anthonyi" "sandiegensis" "0.16729074364585" "0.366265996027289"
"11" "anthonyi" "seri" "0.0332476084808037" "0.178883748064934"
"12" "brunneicapillus" "bryanti" "0.20254210780508" "0.298887218555507"
"13" "brunneicapillus" "guttatus" "0.213132963807376" "0.303922557215073"
"14" "brunneicapillus" "sandiegensis" "0.039650222036593" "0.146441189625479"
"15" "brunneicapillus" "seri" "0.0430026353253659" "0.204434894182579"
"16" "bryanti" "guttatus" "0.445841782885543" "0.643240043271321"
"17" "bryanti" "sandiegensis" "0.549078308716197" "0.705435150646828"
"18" "bryanti" "seri" "0.015618634559218" "0.0957815482304565"
"19" "guttatus" "sandiegensis" "0.257097780278144" "0.472981038454389"
"20" "guttatus" "seri" "0.0171916109280363" "0.129269884112063"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
