"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.162874679494599" "0.297388879902188"
"2" "affinis" "brunneicapillus" "0.380290177592722" "0.625834317142721"
"3" "affinis" "bryanti" "0.185575331613582" "0.36249943998569"
"4" "affinis" "guttatus" "0.311120126737629" "0.492329265189421"
"5" "affinis" "sandiegensis" "0.0509061231610458" "0.19579013298109"
"6" "affinis" "seri" "0.00976113213037666" "0.097229250469172"
"7" "anthonyi" "brunneicapillus" "0.259530288959895" "0.315968026497465"
"8" "anthonyi" "bryanti" "0.354305108042105" "0.534961732100218"
"9" "anthonyi" "guttatus" "0.402852250599039" "0.511369007979306"
"10" "anthonyi" "sandiegensis" "0.163117307464192" "0.363654757654304"
"11" "anthonyi" "seri" "0.0292927991195318" "0.167954912537585"
"12" "brunneicapillus" "bryanti" "0.212127575933795" "0.316807269506742"
"13" "brunneicapillus" "guttatus" "0.225540823165835" "0.317171837477973"
"14" "brunneicapillus" "sandiegensis" "0.0404213967465138" "0.154371480059982"
"15" "brunneicapillus" "seri" "0.0436148440301151" "0.205799266837065"
"16" "bryanti" "guttatus" "0.452496923148017" "0.65222943997758"
"17" "bryanti" "sandiegensis" "0.552459779850362" "0.71501403040607"
"18" "bryanti" "seri" "0.014471325069793" "0.0918173596575361"
"19" "guttatus" "sandiegensis" "0.257397888125221" "0.468596879967532"
"20" "guttatus" "seri" "0.0169906374221107" "0.128399013533544"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
