"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus sandiegensis"	-116.89	32.86	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.44	32.57	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117.12	32.56	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.14	32.75	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-116.99	32.7	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117.1	32.72	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.63	32.52	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117.07	32.74	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.39	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117.07	32.79	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.67	31.87	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117.08	32.71	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.89	32.86	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.12	32.56	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.41	32.99	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.44	32.99	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.41	33.04	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.11	32.65	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.16	32.62	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.99	32.69	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.38	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.35	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.72	31.72	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-116.9	32.87	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.3	32.95	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.23	32.84	"unknown"	0	1	1	"sandiegensis"
