"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.220080099393377" "0.34200218596697"
"2" "affinis" "brunneicapillus" "0.429762616110295" "0.66174069323234"
"3" "affinis" "bryanti" "0.211175795029572" "0.390791400334803"
"4" "affinis" "guttatus" "0.351345802416897" "0.513202341711113"
"5" "affinis" "sandiegensis" "0.0629275751267511" "0.21199029223498"
"6" "affinis" "seri" "0.0111532961418024" "0.10430365593142"
"7" "anthonyi" "brunneicapillus" "0.24066901963117" "0.295962690525875"
"8" "anthonyi" "bryanti" "0.336455792227511" "0.532413625878534"
"9" "anthonyi" "guttatus" "0.40316689306787" "0.511686777180598"
"10" "anthonyi" "sandiegensis" "0.161881964326155" "0.370085690452631"
"11" "anthonyi" "seri" "0.0222349357984065" "0.14696113953346"
"12" "brunneicapillus" "bryanti" "0.190997795461141" "0.285816090219606"
"13" "brunneicapillus" "guttatus" "0.213711785797768" "0.297360291207761"
"14" "brunneicapillus" "sandiegensis" "0.0388867857387268" "0.144471220216435"
"15" "brunneicapillus" "seri" "0.0334187266563287" "0.180976655154307"
"16" "bryanti" "guttatus" "0.437565794023901" "0.641972238984877"
"17" "bryanti" "sandiegensis" "0.569863820190467" "0.721483221285847"
"18" "bryanti" "seri" "0.0114100086629206" "0.0776190210134191"
"19" "guttatus" "sandiegensis" "0.252154123336442" "0.473030053175904"
"20" "guttatus" "seri" "0.0144119451181209" "0.118836448869426"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
