"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"brunneicapillus"	"anthonyi"	"bryanti"	"guttatus"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.31	24.17	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.28	24.23	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.31	24.14	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus affinis Xantus de Vesey, 1860"	-110.35	24.11	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.34	24.12	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.43	24.14	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.34	24.11	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.31	24.1	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.16	24	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.34	24.13	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.37	24.08	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.32	24.16	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.33	24.15	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.99	24.1	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.3	24.1	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.35	24.11	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.32	24.11	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.31	24.16	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.09	24.79	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.19	24.09	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110	24.07	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.99	24.07	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110	24.1	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.32	24.3	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.99	24.06	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.75	25.2	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.64	25.32	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.3	24.21	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.99	24.33	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.32	24.32	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.31	24.34	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.83	23.99	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.1	24.01	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.33	24.15	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.35	24.11	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-109.85	24	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.43	24.14	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus affinis"	-110.3	24.18	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.32	24.16	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.3	24.15	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.34	24.11	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.37	24.08	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.34	24.13	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.34	24.12	"unknown"	1	0	0	0	0	0	1	"affinis"
"Campylorhynchus brunneicapillus"	-110.29	24.08	"unknown"	1	0	0	0	0	0	1	"affinis"
