"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.200799344808318" "0.332399504447096"
"2" "affinis" "brunneicapillus" "0.415482959684166" "0.659344336564131"
"3" "affinis" "bryanti" "0.219056900719726" "0.397048019615124"
"4" "affinis" "guttatus" "0.328661397182921" "0.486936106725059"
"5" "affinis" "sandiegensis" "0.0598999169853797" "0.205947477426153"
"6" "affinis" "seri" "0.00988707376927545" "0.0979271592762531"
"7" "anthonyi" "brunneicapillus" "0.261329690051337" "0.324421062159395"
"8" "anthonyi" "bryanti" "0.350468385952771" "0.540607424843984"
"9" "anthonyi" "guttatus" "0.409425668824917" "0.519204002516371"
"10" "anthonyi" "sandiegensis" "0.165234424337077" "0.368508119742891"
"11" "anthonyi" "seri" "0.0231475770713191" "0.150013115760316"
"12" "brunneicapillus" "bryanti" "0.212318521514864" "0.314159875121495"
"13" "brunneicapillus" "guttatus" "0.220383132171223" "0.310202399807744"
"14" "brunneicapillus" "sandiegensis" "0.045947771442876" "0.164719588104555"
"15" "brunneicapillus" "seri" "0.036397266804945" "0.188533983791436"
"16" "bryanti" "guttatus" "0.437542075121084" "0.638905275037221"
"17" "bryanti" "sandiegensis" "0.54169179240629" "0.706361572518644"
"18" "bryanti" "seri" "0.0114987634863939" "0.0751813560050477"
"19" "guttatus" "sandiegensis" "0.244455420172165" "0.460329864363691"
"20" "guttatus" "seri" "0.0143358288068306" "0.118079176476219"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
