"name"	"longitude"	"latitude"	"prov"	"date"	"key"	"subspecies"
"Polioptila melanura Lawrence, 1857"	"-111.976602"	"33.664507"	"gbif"	2023-02-18	"4039431835"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.771898"	"32.08878"	"gbif"	2023-02-18	"4046407760"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.771898"	"32.08878"	"gbif"	2023-02-18	"4046332819"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-105.469011"	"28.263355"	"gbif"	2023-02-23	"4046673891"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.765893"	"33.238365"	"gbif"	2023-02-25	"4046583101"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.301145"	"33.342675"	"gbif"	2023-02-20	"4046463098"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.278805"	"33.634405"	"gbif"	2023-02-26	"4046697242"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.197028"	"32.254581"	"gbif"	2023-02-24	"4046467280"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-02-27	"4046254339"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.050032"	"32.215525"	"gbif"	2023-02-27	"4046257357"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.616417"	"33.176694"	"gbif"	2023-02-12	"4055024686"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.006386"	"36.091099"	"gbif"	2023-02-13	"4145198990"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.098144"	"36.275238"	"gbif"	2023-02-10	"4090360622"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.767633"	"33.238189"	"gbif"	2023-03-02	"4054729781"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.254853"	"33.163256"	"gbif"	2023-03-03	"4054794971"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.385184"	"33.137861"	"gbif"	2023-03-02	"4054731988"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.517867"	"26.508375"	"gbif"	2023-03-04	"4055048055"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.934788"	"33.240205"	"gbif"	2023-03-04	"4054834988"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-105.43404"	"28.292178"	"gbif"	2023-03-07	"4062793674"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.071916"	"33.424298"	"gbif"	2023-03-05	"4062940658"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.76967"	"33.235638"	"gbif"	2023-03-09	"4062542980"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.304834"	"32.9504"	"gbif"	2023-03-13	"4062832332"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.976868"	"32.299834"	"gbif"	2023-03-13	"4062715341"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.000252"	"36.077073"	"gbif"	2023-03-13	"4137977781"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.648847"	"33.959626"	"gbif"	2023-03-15	"4067178899"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.563629"	"33.850403"	"gbif"	2023-03-15	"4067199973"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.139266"	"32.392144"	"gbif"	2023-03-14	"4067648901"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.431235"	"33.110993"	"gbif"	2023-03-06	"4067208253"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.423374"	"33.741733"	"gbif"	2023-03-19	"4067421534"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.766553"	"33.235758"	"gbif"	2023-03-21	"4076267995"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.767137"	"33.236985"	"gbif"	2023-03-21	"4075712046"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.767137"	"33.236987"	"gbif"	2023-03-21	"4076270970"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.811918"	"31.943691"	"gbif"	2023-03-12	"4075766170"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.653672"	"33.98057"	"gbif"	2023-03-22	"4075727160"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.566916"	"34.047185"	"gbif"	2023-03-17	"4075749236"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.694198"	"32.217369"	"gbif"	2023-03-23	"4076220269"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.728099"	"32.07202"	"gbif"	2023-03-14	"4076297269"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.81108"	"33.71945"	"gbif"	2023-03-04	"4075881326"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.160204"	"33.737539"	"gbif"	2023-03-26	"4076357716"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.933055"	"32.279046"	"gbif"	2023-03-26	"4075878781"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.933119"	"32.27879"	"gbif"	2023-03-26	"4075918865"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.383667"	"33.137659"	"gbif"	2023-03-04	"4075919955"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-03-29	"4075867072"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.306569"	"33.378995"	"gbif"	2023-03-30	"4133601485"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-03-31	"4076447304"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.820943"	"33.828452"	"gbif"	2023-03-31	"4096731631"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.615583"	"33.177293"	"gbif"	2023-03-27	"4096545603"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.647702"	"33.175292"	"gbif"	2023-03-26	"4080953184"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.375272"	"33.140447"	"gbif"	2023-03-05	"4096404753"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.716746"	"32.066292"	"gbif"	2023-03-14	"4096747920"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.073417"	"33.421565"	"gbif"	2023-03-26	"4090357371"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.555296"	"33.80899"	"gbif"	2023-03-27	"4090055473"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.978831"	"32.338218"	"gbif"	2023-03-15	"4090481182"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-104.02824"	"29.327759"	"gbif"	2023-04-01	"4076146556"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.354078"	"33.773912"	"gbif"	2023-04-01	"4171236674"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.480632"	"33.463046"	"gbif"	2023-04-02	"4076094603"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.614178"	"34.001854"	"gbif"	2023-04-07	"4080534104"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.271475"	"35.974442"	"gbif"	2023-04-06	"4096763669"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.278752"	"33.63707"	"gbif"	2023-04-02	"4080824507"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.064423"	"33.420182"	"gbif"	2023-04-10	"4091837686"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.401369"	"32.640807"	"gbif"	2023-04-12	"4091373817"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.304212"	"32.94877"	"gbif"	2023-04-12	"4091616801"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.859564"	"32.523074"	"gbif"	2023-04-13	"4091566979"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.480888"	"33.454133"	"gbif"	2023-04-14	"4091483016"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.803003"	"31.942505"	"gbif"	2023-04-07	"4091690041"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.541329"	"33.577803"	"gbif"	2023-04-12	"4091507071"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.813279"	"33.732686"	"gbif"	2023-04-06	"4091557140"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.708831"	"32.413115"	"gbif"	2023-04-14	"4091478158"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.006296"	"33.543914"	"gbif"	2023-04-16	"4091860289"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.5772"	"28.70123"	"gbif"	2023-04-12	"4096492686"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.064522"	"32.319849"	"gbif"	2023-04-07	"4091604695"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.106438"	"32.456596"	"gbif"	2023-04-18	"4091541702"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-113.692708"	"32.281404"	"gbif"	2023-04-08	"4096773804"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.734693"	"33.364388"	"gbif"	2023-04-20	"4096808051"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.07184"	"33.419808"	"gbif"	2023-04-22	"4096766294"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.213885"	"32.308562"	"gbif"	2023-04-23	"4102689537"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.024349"	"32.231858"	"gbif"	2023-04-24	"4096673770"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.025013"	"32.232585"	"gbif"	2023-04-24	"4096645861"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.02488"	"32.231243"	"gbif"	2023-04-24	"4096595798"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.522358"	"29.137111"	"gbif"	2023-04-23	"4103090629"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.40503"	"33.257595"	"gbif"	2023-04-26	"4103110779"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.982063"	"32.455272"	"gbif"	2023-04-28	"4102595269"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.939483"	"32.3545"	"gbif"	2023-04-29	"4103361491"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.669145"	"33.895087"	"gbif"	2023-04-29	"4111742580"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.023946"	"32.278823"	"gbif"	2023-04-29	"4112083543"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.492831"	"33.76425"	"gbif"	2023-04-22	"4103295067"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.768623"	"32.156939"	"gbif"	2023-04-27	"4103367342"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.621202"	"34.007839"	"gbif"	2023-04-10	"4121356599"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.51782"	"31.59372"	"gbif"	2023-04-14	"4116232080"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.939277"	"32.354675"	"gbif"	2023-04-27	"4121092120"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.939277"	"32.354675"	"gbif"	2023-04-27	"4127139754"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.137298"	"29.271455"	"gbif"	2023-04-01	"4138708643"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.768006"	"32.159228"	"gbif"	2023-04-27	"4407241841"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.907318"	"32.3425"	"gbif"	2023-05-01	"4103244159"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.465162"	"32.591484"	"gbif"	2023-05-01	"4102920365"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.819561"	"32.309116"	"gbif"	2023-05-04	"4407282563"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.000551"	"33.830339"	"gbif"	2023-05-04	"4111851461"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.998428"	"33.61578"	"gbif"	2023-05-05	"4171143690"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.071663"	"33.42004"	"gbif"	2023-05-06	"4111996036"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.765813"	"33.237336"	"gbif"	2023-05-09	"4116164539"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.507046"	"33.693633"	"gbif"	2023-05-07	"4116596314"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.504098"	"33.694578"	"gbif"	2023-05-07	"4116091905"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-113.531184"	"31.326822"	"gbif"	2023-05-12	"4116210267"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-113.531184"	"31.326822"	"gbif"	2023-05-12	"4116623371"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-113.531184"	"31.326822"	"gbif"	2023-05-12	"4116430862"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.002947"	"36.07951"	"gbif"	2023-05-07	"4116145849"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.465002"	"32.587293"	"gbif"	2023-05-13	"4116597894"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.133105"	"31.915695"	"gbif"	2023-05-13	"4116154927"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.465074"	"32.591504"	"gbif"	2023-05-15	"4116647509"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.058517"	"33.348127"	"gbif"	2023-05-08	"4405082475"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.824286"	"33.749255"	"gbif"	2023-05-13	"4116290935"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.089944"	"33.211668"	"gbif"	2023-05-10	"4407163487"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.110019"	"33.366244"	"gbif"	2023-05-10	"4121465116"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.809863"	"32.322365"	"gbif"	2023-05-20	"4120875801"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.806155"	"31.939559"	"gbif"	2023-05-16	"4121335282"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-05-25	"4127374316"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-05-26	"4127032529"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.145594"	"32.216321"	"gbif"	2023-05-17	"4127266777"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.61971"	"33.17698"	"gbif"	2023-05-27	"4133850442"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.712318"	"32.013878"	"gbif"	2023-05-22	"4138037977"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.594698"	"26.485374"	"gbif"	2023-05-27	"4127294917"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-05-29	"4126681094"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.52253"	"29.136942"	"gbif"	2023-05-22	"4127148617"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.52253"	"29.136942"	"gbif"	2023-05-22	"4127131872"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-05-30	"4127306233"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.195207"	"35.798948"	"gbif"	2023-05-29	"4126965245"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.921621"	"36.110814"	"gbif"	2023-05-27	"4129752913"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.169841"	"31.927209"	"gbif"	2023-05-20	"4129736165"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.993702"	"31.827863"	"gbif"	2023-05-25	"4129723540"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.043531"	"33.440734"	"gbif"	2023-05-27	"4134190385"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.022954"	"32.233257"	"gbif"	2023-05-20	"4138331349"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.4721"	"32.8331"	"gbif"	2023-05-27	"4135520148"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985541"	"33.363237"	"gbif"	2023-06-03	"4130045588"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.986199"	"33.363173"	"gbif"	2023-06-03	"4130002698"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-104.021515"	"30.06783"	"gbif"	2023-06-03	"4130091218"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.181944"	"25.607601"	"gbif"	2023-06-05	"4129781836"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.811057"	"31.960621"	"gbif"	2023-06-09	"4133976666"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.360745"	"36.439697"	"gbif"	2023-06-08	"4133976672"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.464252"	"32.592326"	"gbif"	2023-06-15	"4137909802"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.457282"	"32.587141"	"gbif"	2023-06-16	"4138551547"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.527552"	"25.485527"	"gbif"	2023-06-09	"4137788809"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.307074"	"33.379407"	"gbif"	2023-06-16	"4137870434"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.306908"	"33.379595"	"gbif"	2023-06-16	"4137604280"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-06-16	"4138461423"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.985919"	"33.36289"	"gbif"	2023-06-22	"4138232727"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.8726"	"32.328"	"gbif"	2023-06-06	"4135517255"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.464879"	"32.591525"	"gbif"	2023-07-20	"4165760513"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.092075"	"31.890085"	"gbif"	2023-07-11	"4171414775"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-102.245831"	"21.809643"	"gbif"	2023-07-22	"4171667761"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.1267"	"31.913922"	"gbif"	2023-07-24	"4171684584"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-106.7389"	"32.4697"	"gbif"	2023-07-29	"4171401211"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.511732"	"25.782054"	"gbif"	2023-07-30	"4171470408"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.020809"	"36.100135"	"gbif"	2023-07-26	"4172061355"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.006019"	"36.079881"	"gbif"	2023-07-30	"4171847192"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.998696"	"36.07709"	"gbif"	2023-07-30	"4172024432"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-102.247372"	"21.809259"	"gbif"	2023-07-22	"4400382402"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.24246"	"31.401547"	"gbif"	2023-07-08	"4405232197"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.46515"	"32.591392"	"gbif"	2023-08-04	"4172223499"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.519794"	"26.6006"	"gbif"	2023-08-04	"4171963854"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.688407"	"32.206425"	"gbif"	2023-08-06	"4172163376"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.610189"	"26.511327"	"gbif"	2023-08-08	"4177086053"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.822418"	"32.310318"	"gbif"	2023-08-09	"4407256744"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.817999"	"32.316128"	"gbif"	2023-08-12	"4407123742"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.814384"	"32.31671"	"gbif"	2023-08-12	"4176927689"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.82422"	"31.452225"	"gbif"	2023-08-07	"4177475590"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.798105"	"32.328384"	"gbif"	2023-08-14	"4177259760"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-113.600092"	"37.07962"	"gbif"	2023-08-15	"4177557132"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-100.596995"	"26.478428"	"gbif"	2023-08-16	"4400017179"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.141449"	"31.913703"	"gbif"	2023-08-11	"4400305000"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.178468"	"31.932617"	"gbif"	2023-08-13	"4400210921"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.742093"	"32.312568"	"gbif"	2023-08-06	"4405067893"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.944545"	"32.24734"	"gbif"	2023-08-22	"4405022585"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.465622"	"29.490728"	"gbif"	2023-08-20	"4407580058"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.418448"	"33.269794"	"gbif"	2023-09-04	"4407660577"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-109.457638"	"37.290537"	"gbif"	2023-09-09	"4413895291"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.819295"	"32.309338"	"gbif"	2023-09-12	"4414321062"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.140241"	"32.395391"	"gbif"	2023-09-17	"4413945132"	"unknown"
