"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"numSubsppGroups"	"assigned"
"Geococcyx velox (Wagner, 1836)"	-95.16	16.83	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.64	20.87	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.33	21.3	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.6	21.24	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.62	21.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.99	20.63	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.74	21.13	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.3	18.81	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.84	16.49	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.81	21.17	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.35	21.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95.17	16.83	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.19	21.45	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88	21.45	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.96	21.46	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.77	21.35	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.68	21.34	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.87	13.96	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.35	13.11	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.29	21.32	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.27	21.25	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.71	17.12	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.93	15.45	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.45	16.96	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.46	21.12	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.19	20.78	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.15	14.09	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.6	21.15	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.01	20.92	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.29	15.15	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.12	14.13	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.48	16.81	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.93	15.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.92	15.38	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.91	15.39	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.95	19.45	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.62	14.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.42	14.66	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.51	18.95	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-100.5	19.48	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.64	14.57	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.47	17.02	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.58	15.07	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.54	16.56	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.47	17.28	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.05	20.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.47	17.27	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.68	19.47	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.41	14.66	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.74	14.49	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.84	15.73	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-98.56	17.53	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.54	17.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.17	21.45	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.81	21.35	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95.22	16.87	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.17	14.22	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.2	20.82	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95.29	16.35	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-101.03	19.61	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-101.01	19.6	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.69	19.48	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.17	16.12	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.64	14.97	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.63	17.13	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.44	16.05	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.29	18.8	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.74	14.53	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.69	17.89	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.09	14.71	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.12	18.86	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.62	17.08	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.15	14.22	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.95	20.76	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.63	19.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.14	19.85	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.44	17.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.22	20.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.14	21.44	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.87	16.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.7	16.65	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.54	14.85	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-108.89	26.94	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.95	16.6	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.09	16.81	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.77	14.67	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.69	20.99	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.07	14.21	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-108.75	27.03	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.78	12.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.07	16.83	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.74	16.6	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-97.36	18.32	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.15	16.75	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.18	21.56	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.8	19.47	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.28	15.22	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.69	19.47	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.6	19.77	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.83	21.23	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.28	13.95	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.76	16.63	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.77	17.04	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.23	20.67	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.82	14.96	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.32	21.13	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-97.46	18.32	"velox"	1	1	"californianus"
