"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"mesata"	"mesoleuca"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca"	-103.5	36.37	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.97	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.93	36.9	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca mesata"	-102.89	36.89	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.89	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.98	36.92	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.93	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.95	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.83	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.82	36.9	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.93	36.92	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.93	36.87	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-103.14	36.9	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca mesata"	-103.9	37.56	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.92	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.89	36.89	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.91	36.86	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.51	36.92	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.84	37	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-103.02	37.15	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.75	37.01	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.93	36.78	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.9	36.78	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.96	36.94	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca mesoleuca"	-104.59	37.43	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca mesoleuca"	-104.49	36.83	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca mesoleuca"	-104.9	35.98	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-103.09	37.14	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca mesata (Oberholser, 1937)"	-102.75	37.01	"mesata"	0	1	0	0	1	"mesata"
"Melozone fusca mesata (Oberholser, 1937)"	-102.89	36.89	"mesata"	0	1	0	0	1	"mesata"
"Pipilo fuscus mesatus Oberholser, 1937"	-103.22	36.42	"mesata"	0	1	0	0	1	"mesata"
"Pipilo fuscus mesatus Oberholser, 1937"	-103.13	36.95	"mesata"	0	1	0	0	1	"mesata"
"Pipilo fuscus mesatus Oberholser, 1937"	-103.13	36.9	"mesata"	0	1	0	0	1	"mesata"
"Pipilo fuscus mesatus Oberholser, 1937"	-102.95	36.9	"mesata"	0	1	0	0	1	"mesata"
"Kieneria fusca mesata (Oberholser, 1937)"	-102.97	36.97	"mesata"	0	1	0	0	1	"mesata"
"Kieneria fusca mesata (Oberholser, 1937)"	-102.97	36.9	"mesata"	0	1	0	0	1	"mesata"
"Melozone fusca mesata (Oberholser, 1937)"	-103.9	37.56	"mesata"	0	1	0	0	1	"mesata"
"Melozone fusca mesata"	-102.89	36.89	"mesata"	0	1	0	0	1	"mesata"
"Melozone fusca mesata"	-103.9	37.56	"mesata"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-109.14	31.91	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.81	32.31	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.73	31.55	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.94	31.67	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.93	32.36	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.91	32.34	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.66	32.23	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.28	31.55	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.28	31.58	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.88	32.22	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.8	33.69	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.7	32.34	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.91	32.43	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.79	33.68	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.02	31.87	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.83	33.78	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-109.5	32.24	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.02	33.6	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.16	33.28	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.65	32.23	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.85	32.58	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.14	31.55	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.86	32.33	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.74	32.58	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.52	33.59	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.17	32.25	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.52	33.61	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.51	31.57	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-110.33	31.92	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.02	33.83	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.45	33.53	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.56	33.61	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.05	32.2	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-107.97	32.58	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-107.98	32.59	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-111.79	33.77	"unknown"	0	0	1	0	1	"mesoleuca"
"Melozone fusca (Swainson, 1827)"	-112.81	31.94	"unknown"	0	0	1	0	1	"mesoleuca"
