"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-98.83	19.75	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.98	19.34	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.31	19.04	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.26	19.79	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.35	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.37	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99	19.21	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.97	19.32	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	19.5	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.41	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.61	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.38	19.12	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.3	19.08	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.02	19.67	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.24	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.04	19.57	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.05	19.59	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.22	19.65	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.07	19.4	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.26	19.41	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.24	19.32	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.29	19.19	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.22	19.3	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.56	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.77	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.23	19.28	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.35	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.8	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.19	19.3	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.26	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.63	19.36	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.12	19.35	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.14	19.26	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.36	"unknown"	1	0	1	"campoi"
