"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-110.95	32.35	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.45	32.37	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.67	33.86	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.15	32.54	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.28	34.51	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.95	34.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.24	36.44	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.86	35.44	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-119.96	34.61	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.31	36.77	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.39	33.14	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.39	33.64	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.46	32.59	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.88	37.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-120.72	35.58	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-120.7	35.52	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.51	34.31	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.32	32.92	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.84	33.76	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.97	32.43	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.37	33.7	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.23	32.42	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.17	32.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.2	35.79	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.2	35.8	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.88	37.23	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.92	33.51	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.24	34.08	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.6	33.65	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.39	33.34	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.34	37.79	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.95	32.05	"unknown"	1	0	1	"lepida"
