"name"	"longitude"	"latitude"	"subspecies"	"medius"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-118.23585	34.098711	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.118845	32.439459	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.765803	33.783713	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.568949	34.050954	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.337663	30.613534	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-102.967915	29.186113	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.155895	32.592271	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.065711	32.54999	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.113021	32.543369	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.564353	34.044002	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.1162	32.97675	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.084763	32.556364	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.141636	32.423135	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.106029	32.563838	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.080118	34.089632	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.145946	32.610999	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.990994	32.714032	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.993355	32.648689	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.849586	32.68136	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.955925	32.695765	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.366274	30.739201	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.234264	34.085593	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.736111	33.979346	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.985919	33.36289	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.023529	32.27904	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.02179	32.27929	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.611987	32.153255	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.187863	31.495649	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.179667	31.488342	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.062661	33.928007	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-101.732696	33.535441	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.069976	34.191339	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.946156	33.626015	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.085113	32.820131	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.844037	33.377254	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.568905	34.050904	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.176081	32.521034	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.131699	19.132944	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.846567	31.497783	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.268653	31.365072	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.991447	30.665425	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.260884	31.34323	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.42777	28.403247	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.655105	33.987622	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.570061	34.049938	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.858413	33.839565	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.203385	34.124643	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.717928	32.537773	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.27219	31.34168	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.27212	31.3415	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.884722	31.740124	"unknown"	0	0	"none"
