"name"	"longitude"	"latitude"	"subspecies"	"adusta"	"kenaiensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-121.86	37.46	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.87	37.46	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.18	38.65	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.8	36.92	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.62	37.18	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.53	37.08	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.01	37.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.27	37.91	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.96	37.49	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.81	37.34	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.24	37.87	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.06	36.98	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.11	38.08	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.46	37.8	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.02	37.42	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.94	36.52	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.63	38.93	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.54	37.94	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.46	37.77	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.35	37.66	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.06	37.31	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.68	38.56	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.23	37.85	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.27	37.56	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.28	38.27	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.58	38.22	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.19	38.12	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.57	38.58	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.6	38.23	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.65	36.6	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.8	38.56	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.48	37.5	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.18	38.07	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.77	36.95	"unknown"	0	1	1	"kenaiensis"
