"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-109.092296	31.889873	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.59087	36.267744	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.07554	36.796552	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.442402	29.43325	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.127874	31.921141	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.064004	31.880182	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.467125	29.492133	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.856182	30.400584	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.475193	35.099114	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.101181	29.494779	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.179225	31.683995	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.562798	31.82127	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.294822	32.883755	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.751856	32.353892	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.634963	32.730154	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.748422	34.866444	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.998596	36.077207	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.026235	36.104364	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.002768	36.07849	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.059936	31.817317	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.323167	29.23138	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.315629	31.94114	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.46355	36.067093	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.000533	36.077573	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.12931	31.913237	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.48168	35.135773	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.86049	33.649216	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.118706	31.895967	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.81947	34.869114	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.87395	33.873566	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.95545	36.09364	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.07309	31.875568	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.077484	31.88272	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.45888	36.069016	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.80791	34.875156	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.90217	33.772476	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.51375	31.921627	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.02866	31.836878	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.47936	35.305046	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.09264	31.789124	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.07543	31.872171	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.50276	34.634502	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.70318	32.75602	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.522446	34.751293	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.167	31.61	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.35084	34.55081	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.002144	36.074978	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.318375	32.964443	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.02569	34.693825	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.26446	31.422804	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.7256	32.209763	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.85911	32.30944	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.073586	32.14604	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.72049	36.717957	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.49311	31.781689	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.580025	36.664227	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.02246	36.100697	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.82196	31.719778	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.98384	36.08773	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.788574	31.726631	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.80875	31.71679	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.798645	31.735826	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.78154	31.717691	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.71264	34.679317	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.45954	34.62956	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.83768	31.790154	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.916466	31.761595	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.30422	33.036076	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.78046	33.27116	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.98903	36.088852	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.925644	31.7191	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.771866	33.377003	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.9147	31.701315	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.563	31.82094	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.89078	33.80502	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.716034	36.72487	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.1275	31.9204	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.82154	31.715767	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.5069	35.057625	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.11798	32.32732	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.359566	36.438797	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.88615	31.739939	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.31	31.6409	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.205894	33.225735	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.72461	35.126972	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-113.02033	31.943611	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.04355	34.782143	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-113.812195	35.181618	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.74152	32.32952	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.300934	32.975048	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.47973	36.626102	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.53118	31.794157	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.3764	34.038822	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.83572	34.78363	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.830315	31.805485	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.35667	32.00546	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.81957	32.375137	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.29706	32.188072	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.61715	32.773937	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.5744	33.3487	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.82729	32.437176	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.86208	33.96621	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.65775	31.641382	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.892105	33.805923	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.680534	32.04361	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.74138	32.61691	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.45023	36.163204	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.261536	31.3558	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.988464	31.414017	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.74123	32.32902	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-108.60154	32.812775	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.19407	34.919437	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-116.314705	33.20896	"unknown"	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.47112	33.402615	"unknown"	0	0	"none"
