"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"crissale"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-104.42	33.43	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.91	33.79	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.61	31.83	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.92	32.49	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.5	31.79	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.89	33.99	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.87	33.88	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.4	33.45	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.88	33.8	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.19	32.78	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.47	35.16	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.49	31.97	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.45	31.9	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-102.9	31.58	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.31	32.87	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.21	35.38	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.86	32.81	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.65	32.74	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.87	32.95	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.18	32.68	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.47	32.11	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.73	32.46	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.18	33.56	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.3	32.9	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.25	29.25	"unknown"	0	0	0	"none"
