"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"maculatum"	"oberholseri"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre"	-109.19	26.61	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.53	26.82	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.18	26.73	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.14	26.36	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.62	26.42	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.63	26.38	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.14	27.25	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.44	27.77	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.91	27.86	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.94	27.5	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.26	27.23	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.7	26.3	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.8	26.27	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.81	26.31	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.81	26.3	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.7	26.9	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.95	28.62	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.17	25.92	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.22	26.43	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.81	27.96	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.77	26.3	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.94	27.61	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.08	27.02	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-110.9	27.92	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.94	27.02	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre celsum"	-108.53	28.13	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre celsum"	-108.27	27.38	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-110.3	28.5	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-110.12	28.52	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre palmeri"	-110.9	27.92	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre palmeri"	-110.81	27.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.92	27.09	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.13	26.35	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.53	28.46	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.93	28.62	"unknown"	0	1	0	1	"maculatum"
