"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-109.12	31.92	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.06	31.93	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.23	31.38	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.25	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.26	31.42	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.27	32.8	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.82	31.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.24	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.26	31.47	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.23	31.41	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.28	32.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.76	32.05	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.3	32.77	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.83	31.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.72	31.58	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.66	31.64	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.3	32.71	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.7	32.76	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.68	32.04	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.27	31.56	"unknown"	1	0	1	"celsum"
