"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-99.06	19.59	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.33	20.75	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.01	31.85	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.34	20.7	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.31	34.6	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112	33.4	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.68	32.22	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.07	28.94	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.9	21.19	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.82	33.58	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.85	33.58	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.68	27.29	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.15	19.26	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.9	21.18	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.08	32.28	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.22	19.72	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.07	33.42	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.38	33.65	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.03	33.52	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.56	26.27	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.6	22.7	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.21	19.08	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.62	35.1	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.84	33.26	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.6	26.08	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-107.61	32.19	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-108.71	29.84	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.93	33.42	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.14	19.39	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.16	19.27	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.97	34.34	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.04	33.44	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.96	19.94	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-109.16	31.9	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.8	20.69	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.98	19.33	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.17	19.34	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.02	19.25	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-114.27	35.24	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.43	28.29	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.11	19.96	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.03	19.37	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-104.8	31.91	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.05	19.59	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-107.41	24.81	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.83	20.88	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.38	20.76	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.38	20.77	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.95	35.69	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.17	19.39	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.07	31.72	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.17	32.27	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.75	24.89	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.98	19.31	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.86	25.44	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.72	24.96	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.88	33.8	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.64	20.07	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.99	32.45	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.44	28.29	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.66	21.08	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.68	24.71	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.18	18.85	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.38	26.22	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.31	20.73	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.31	20.72	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.77	33.47	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.46	20.79	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.45	20.8	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.47	33.41	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.95	33.46	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.16	19.65	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.94	26.13	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.49	20.55	"unknown"	0	0	"none"
