"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-110.976868	32.299834	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.000252	36.077073	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.648847	33.959626	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.563629	33.850403	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.139266	32.392144	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.431235	33.110993	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.423374	33.741733	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.766553	33.235758	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.767137	33.236985	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.767137	33.236987	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.811918	31.943691	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.653672	33.98057	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.566916	34.047185	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.694198	32.217369	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.728099	32.07202	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.81108	33.71945	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.160204	33.737539	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.933055	32.279046	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.933119	32.27879	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.383667	33.137659	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.306569	33.378995	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.820943	33.828452	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.615583	33.177293	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.647702	33.175292	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.375272	33.140447	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.716746	32.066292	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.073417	33.421565	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.555296	33.80899	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.978831	32.338218	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-104.02824	29.327759	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.354078	33.773912	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.480632	33.463046	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.614178	34.001854	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.271475	35.974442	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.278752	33.63707	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.064423	33.420182	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.401369	32.640807	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.304212	32.94877	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.859564	32.523074	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.480888	33.454133	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.803003	31.942505	"unknown"	0	0	"none"
