"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"beata"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-77.47	36.78	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.67	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.15	38.9	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.34	38.93	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.45	37.53	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.46	37.53	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.58	37.27	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.96	37.13	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.93	40.21	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.1	41.39	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.25	41.7	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.54	38.71	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.85	38.87	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.54	38.69	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-70.9	41.62	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.92	38.99	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.39	41.79	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.47	39.27	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.28	38.92	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.84	38.89	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.08	38.77	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.89	39	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.03	40.12	"unknown"	0	1	0	1	"atlantica"
