"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"saltonis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-116.94	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117	33.09	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.73	33.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-110.85	31.5	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-112.26	33.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.61	31.82	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni S.F.Baird, 1858"	-116.61	31.82	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni S.F.Baird, 1858"	-116.61	31.81	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-110.76	31.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.74	33.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.32	31.57	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.09	32.8	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.03	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.01	32.86	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.08	33.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.05	31.56	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117	32.85	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.02	32.83	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.03	32.28	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.09	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.1	33.9	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.04	32.95	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.04	32.85	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni S.F.Baird, 1858"	-116.94	32.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-112.69	33.93	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.97	32.85	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.05	33.16	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.01	31.8	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.02	32.63	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.07	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.04	34.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.94	34.04	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax (S.F.Baird, 1854)"	-110.74	32.24	"unknown"	0	0	1	1	"saltonis"
