"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"cleonensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia"	-124.22	40.77	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.11	40.81	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.13	40.94	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.07	41.38	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.12	40.55	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.11	40.55	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-122.57	42.36	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.12	41.04	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.22	40.68	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.16	41.13	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-122.35	41.28	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-122.99	42.93	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-123.06	42.56	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.15	41.06	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.12	41.05	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.2	41.87	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.42	43.12	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-123.2	42.42	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.21	40.68	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.21	40.69	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.05	40.85	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.43	43.11	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-124.09	40.79	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia"	-123.94	40.73	"unknown"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.43	43.11	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.12	40.98	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.09	40.86	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.08	40.87	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.05	40.85	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.11	41.84	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.17	42.05	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.27	40.68	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-123.63	40.94	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.02	41.36	"cleonensis"	0	0	1	1	"cleonensis"
