"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"inexspectata"	"mailliardi"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-60.31	46.17	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.65	35.36	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.23	41.63	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.08	42.4	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.9	34.97	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.23	39.29	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.06	38.89	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-83.97	35.76	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.11	44.15	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-60.26	46.21	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.04	39.57	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.79	40.48	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.2	39.21	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.35	34.54	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-82.76	39.65	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.13	32.78	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.04	40.3	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.68	36.53	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.92	32.77	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.92	49.25	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.42	45.59	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.46	39.26	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.44	39.29	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.03	30.33	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.85	45.75	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-82.01	40.47	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	47.76	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.74	40.31	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.31	38.93	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.13	32.79	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.21	34.2	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.4	48.48	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.65	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.23	47.18	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.95	49.26	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.27	32.85	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.06	36.97	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.19	47.84	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.33	47.79	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-89.81	33.85	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.28	31.64	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.62	44.66	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-72.99	41.45	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.29	38.85	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.93	30.67	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-111.94	40.93	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.93	40.45	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-79.84	36.09	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.29	34.16	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.36	38.94	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.99	36.97	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	47.67	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.11	37.46	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.3	37.55	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.89	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97	32.61	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.87	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.23	33.1	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.2	40.06	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.28	32.88	"unknown"	0	0	0	0	0	"none"
