"name"	"longitude"	"latitude"	"subspecies"	"beata"	"juddi"	"merrilli"	"pectoralis"	"numSubsppGroups"	"assigned"
"Melospiza melodia juddi Bishop, 1896"	-97.65	39.48	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-97.8	39.79	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-97.61	39.57	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.1	38.18	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-96.24	37.89	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.1	38.18	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.4	38.83	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.09	38.84	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.88	39	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.28	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.95	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.31	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.36	38.87	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-97.61	39.57	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-97.8	39.79	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.9	38.65	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.35	38.88	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.34	38.89	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.73	38.99	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.02	39.74	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.87	38.91	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.16	38.97	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.21	38.92	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.1	39.81	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.22	38.92	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.29	38.93	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.7	39.05	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.57	39.04	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.51	38.92	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.3	39	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.24	39	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.93	37.74	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.27	38.95	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia melodia"	-94.58	39.1	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia melodia"	-95.24	38.95	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.88	38.85	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.88	38.94	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-97.65	39.48	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.34	38.64	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.36	38.88	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.98	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.98	39.19	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.85	39.04	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.33	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.33	38.94	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.33	38.88	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.83	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.18	38.89	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.73	39.94	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.02	37.75	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.16	38.8	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.91	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.29	38.72	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.29	38.92	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.29	38.72	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.95	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.27	38.95	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.16	38.8	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.24	39	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia euphonia Wetmore, 1936"	-95.15	38.96	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.93	37.74	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-100.02	37.75	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.73	39.94	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.33	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.33	38.94	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.7	39.05	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.83	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia euphonia Wetmore, 1936"	-95.22	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.3	39	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.85	39.04	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.51	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.98	39.19	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.91	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.28	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.18	38.89	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.98	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.29	38.93	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.22	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.16	38.97	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.1	39.81	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.36	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.57	39.04	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.21	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.35	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-96.24	37.89	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.9	38.65	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.34	38.89	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.31	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.33	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.02	39.74	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-100.34	38.64	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-100.4	38.83	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.88	38.85	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.88	39	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-100.09	38.84	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.88	38.94	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.73	38.99	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.87	38.91	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.36	38.87	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-97.65	39.48	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-97.8	39.79	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-97.61	39.57	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.1	38.18	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-96.24	37.89	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.1	38.18	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.4	38.83	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.09	38.84	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.88	39	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-99.87	38.91	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.28	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.95	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.31	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.36	38.87	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-97.61	39.57	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-97.8	39.79	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.9	38.65	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.35	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.28	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.34	38.89	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.73	38.99	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.02	39.74	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.87	38.91	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.16	38.97	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.21	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.1	39.81	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.22	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-94.85	37.51	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.29	38.93	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia montana"	-95.26	38.93	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.7	39.05	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia montana"	-101.2	37.99	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.57	39.04	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.51	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia euphonia"	-95.15	38.96	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.3	39	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.24	39	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.93	37.74	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.27	38.95	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-101.36	38.91	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-101.6	37.93	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.8	38.25	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.2	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.68	39.05	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.29	38.14	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-96.6	39.61	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-96.53	39.54	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-96.81	39.11	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.88	38.85	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.88	38.94	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-97.65	39.48	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.34	38.64	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.36	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.98	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.98	39.19	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.85	39.04	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.7	39.05	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.33	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.33	38.94	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.33	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.83	38.9	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.18	38.89	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia euphonia"	-95.22	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-94.73	39.94	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-100.02	37.75	"unknown"	0	1	0	0	1	"juddi"
