"name"	"longitude"	"latitude"	"subspecies"	"atlantica"	"beata"	"kenaiensis"	"rivularis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-72.24	41.81	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.24	40.46	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.48	39.28	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.92	40.6	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.91	40.59	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.16	39.52	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.27	41.48	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.49	40.71	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.67	41.77	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.35	41.11	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.61	39.93	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.65	41.72	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.64	41.85	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.25	40.9	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.65	40.68	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.12	41.3	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.9	40.89	"unknown"	1	0	0	0	1	"atlantica"
