"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-84.32	30.52	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.83	19.39	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.55	14.34	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.68	19.23	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.76	29.57	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.77	19.26	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-90.75	14.41	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.96	19.41	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.84	13.45	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.7	19.19	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-91.4	14.06	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.32	14.11	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.73	19.24	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.51	19.14	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.4	19.11	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.53	19.16	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.38	29.3	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-80.05	26.64	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-101	22.13	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-80.06	26.64	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-90.92	14.1	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-94.6	35.42	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.16	40.89	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.38	44.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-63.56	44.68	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.51	39.35	"unknown"	0	0	0	"none"
"Vireo bellii"	-98.41	43.21	"unknown"	0	0	0	"none"
"Vireo bellii"	-72.11	41.38	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.48	39.34	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.42	44.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-91.93	44.25	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.89	38.88	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.45	42.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-101	25.4	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.25	25.59	"unknown"	0	0	0	"none"
"Vireo bellii"	-86.3	39.87	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.32	43.64	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.76	43.36	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.43	41.8	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.47	44.76	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.09	44.7	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.13	45.29	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.96	44.79	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.45	44.76	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.27	44.79	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.27	41.56	"unknown"	0	0	0	"none"
"Vireo bellii"	-84.43	39.29	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.04	42.1	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.36	42.68	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.23	42.42	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.52	46.25	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.93	36.22	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.54	36.2	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.37	45.51	"unknown"	0	0	0	"none"
