"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps flaviceps"	-115.37	30.05	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-115.28	29.98	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.82	26.09	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.81	26.06	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.82	26.06	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.85	24.66	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-116.93	32.23	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.51	24.54	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.22	24.91	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.05	25.49	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.31	24.14	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.83	24.5	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.33	24.42	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.6	24.83	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.42	24.47	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.63	24.83	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.63	25	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-115.48	32.65	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.88	28.38	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.59	27.65	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.96	27.45	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.6	28.7	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.63	27.67	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113	26.84	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.2	25.95	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.25	28.72	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.39	29.42	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.17	29.25	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.97	29.93	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.74	29.89	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.73	29.75	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-114.4	29.42	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.33	24.15	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.91	22.89	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.71	23.06	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.68	23.05	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.22	27.22	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.31	24.08	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.37	24.11	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.33	24.12	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.3	24.15	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.78	23.45	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.78	23.44	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.14	26.88	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.25	27.22	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.51	27.41	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.7	27.28	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.15	26.88	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-105.17	27.68	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.24	22.05	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.6	27.31	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.59	27.41	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.55	28.69	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.85	27.45	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.18	27.17	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.43	28.11	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-99.13	23.75	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.53	27.31	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.91	27.28	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.9	27.28	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.22	23.45	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.22	23.44	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.24	34.53	"flaviceps"	1	1	"acaciarum"
