"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-100.6	25.75	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.76	31.54	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.88	32.22	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.28	31.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.11	25.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-112.08	33.64	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.72	31.56	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.58	26.55	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.79	32.3	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.36	27.2	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.27	27.1	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.15	26.59	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.27	27.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	26.54	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.95	32.42	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.61	29.7	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.03	25.35	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.93	31.82	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.98	32.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.53	25.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.73	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.34	26.22	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.26	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.34	27.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	27.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	26.5	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.96	29.74	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.35	28.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.35	31.72	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.63	30.36	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.82	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.16	33.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.86	25.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.1	23.8	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.98	27.88	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	28.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.11	31.41	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.45	29.52	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.31	31.64	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.82	32.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.59	33.01	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.33	31.92	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	31.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.62	33.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.11	23.81	"unknown"	0	0	0	"none"
