"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-107.28	24.87	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.1	28.02	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.75	25.94	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.46	31.85	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-112.49	26.99	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.61	32.19	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.12	28.61	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.11	25.87	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.11	25.88	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.96	30.6	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.83	31.03	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.28	31.7	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.13	25.88	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.65	26.04	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.47	31.86	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.62	33.51	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.75	32.47	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.76	32.47	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.72	32.32	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.31	24.1	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.32	24.1	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.71	23.72	"unknown"	0	0	0	0	"none"
