"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-106.77	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.74	32.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.82	32.25	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.01	33.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.71	30.96	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.38	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.71	34.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.78	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.71	31.15	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.55	32.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.15	30.93	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.61	32.41	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.9	33.76	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	33.79	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.82	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	33.78	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.21	33.23	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.92	32.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.48	32.18	"unknown"	0	0	0	"none"
