"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"flammiger"	"floridanus"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.34	38.93	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.04	40.12	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.52	39.35	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.59	43.73	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.2	39.95	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.48	38.96	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.96	40.79	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.48	35.5	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.72	39.62	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	38.89	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	38.9	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.97	35.76	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.2	38.79	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.97	40.66	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.3	42.37	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.26	40.79	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.28	39.98	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.27	42.32	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.1	33.43	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.07	41.82	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.95	40.94	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.11	39.11	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.07	40.33	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	38.69	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.07	38.69	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.35	43.72	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74	40.3	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.49	39.27	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.51	39.57	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.18	35.93	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.35	39.4	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.33	42.06	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.6	31.32	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.15	41.75	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.63	34.46	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.56	41.66	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.55	41.64	"unknown"	0	1	0	0	1	"cardinalis"
