"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"flammiger"	"floridanus"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.8	45.37	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.62	30.65	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.92	42.91	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.33	44.9	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.35	24.11	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.13	32.78	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.89	27.53	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.79	29.82	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.07	29.71	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.73	31.37	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.16	32.75	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.92	46.34	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.82	30.69	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.78	30.44	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.17	32.88	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-109.69	23.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.68	27.29	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.73	32.83	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.3	33.2	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.4	27.79	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.38	28.65	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.92	30.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.9	32.87	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.86	34.39	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.93	34.27	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.01	29.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.03	30.38	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-105.43	28.29	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.06	31.95	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.5	45.52	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.69	32.38	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.71	31.33	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.97	32.63	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.47	33.73	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.8	45.63	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.76	32.77	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.65	45.72	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.1	33.42	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.22	32.66	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-91.19	30.46	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.85	32.33	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.65	30.41	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.65	29.82	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.71	29.78	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.73	34.85	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.87	45.12	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.55	44.67	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.1	32.72	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.76	45.48	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-101	31.83	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.1	32.59	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-109.99	24.09	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.06	33.05	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.67	29.57	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.69	30.42	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.96	33.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-91.11	30.37	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.04	36.48	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.16	37.29	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.6	26.54	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-107.39	32.98	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.98	33.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-105.44	28.29	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.11	26.41	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.29	30.14	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.76	33.99	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.36	34.16	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.68	33.69	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-70.35	43.55	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.67	31.81	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.7	30.24	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.47	32.83	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.62	34.23	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.15	33.13	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.42	35.2	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.68	29.58	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.66	33.26	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.55	44.66	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.09	46.41	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.09	32.99	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.64	29.9	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.5	33.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.27	29.88	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.42	31.87	"unknown"	0	0	0	0	0	"none"
