"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"belvederei"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata"	-110.29	24.17	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.64	23.62	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.38	24.56	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.31	24.27	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.32	24.32	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.33	24.3	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.43	24.13	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.57	24.82	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.38	24.51	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-111.73	24.69	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.99	24.05	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-112.13	24.62	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.24	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.25	23.94	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.23	24.16	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.73	24.49	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.19	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.89	24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.9	24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.78	24.57	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.69	24.84	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.23	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.33	24.29	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.76	24.64	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.34	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.18	24.08	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.31	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.33	24.32	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.18	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.38	24.49	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.36	24.48	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-112.14	24.63	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.33	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.25	24.21	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.28	24.18	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.27	24.07	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.14	24.24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.32	24.25	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.06	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.13	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.04	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.23	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.68	23.64	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.77	23.57	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.2	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.37	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.25	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.04	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.39	24.51	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.46	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.41	24.48	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei"	-109.92	24.32	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.56	24.83	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.31	24.16	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.3	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-111.82	24.42	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.3	24.12	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bilineata"	-112.13	24.65	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.85	24.66	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.8	24.45	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei"	-109.86	24.24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.08	23.83	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.25	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei"	-109.86	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.32	24.13	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.59	24.88	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.31	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.58	24.84	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-112.22	24.91	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.77	24.45	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.31	24.14	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.85	24.46	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.33	24.42	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.25	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-111.85	24.66	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata deserticola"	-111.85	24.66	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata deserticola"	-111.83	24.42	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-112.12	25.36	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.83	24.5	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.42	24.47	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.63	24.83	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-112.13	24.73	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bilineata"	-110.25	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bilineata"	-111.8	24.45	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bilineata"	-110.58	25	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bilineata"	-110.33	24.42	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-109.86	24.24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.25	23.95	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.34	24.32	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.81	24.46	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.35	24.5	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.34	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.43	24.04	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-111.84	24.66	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.28	24.07	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata bangsi"	-110.58	25	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei Banks, 1963"	-109.86	24.24	"belvederei"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei Banks, 1963"	-109.86	24.26	"belvederei"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei"	-109.92	24.32	"belvederei"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei"	-109.86	24.24	"belvederei"	0	1	1	"belvederei"
"Amphispiza bilineata belvederei"	-109.86	24.26	"belvederei"	0	1	1	"belvederei"
