"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"opuntia"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-98.81	30.51	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.6	32.3	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.13	33.37	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.4	33.67	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.75	32.47	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.73	24.91	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.81	33.74	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.41	33.27	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.95	28.97	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.32	24.32	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.43	33.18	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.45	25.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-105.12	29.43	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.54	27.56	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.79	32.33	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.04	33.78	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.05	33.77	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.99	33.36	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.8	33.69	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.63	33.46	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.39	33.24	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.67	32.23	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.38	33.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.76	32.19	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.14	34.03	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.38	33.01	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.37	33.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.51	28.13	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.39	34.07	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.47	33.46	"unknown"	0	0	0	"none"
