"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-99.20086	19.411199	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.021695	32.280054	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.285396	17.450109	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.795801	30.894701	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.959336	32.3777	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.124619	32.330363	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.161431	32.317967	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.164449	32.318424	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.964218	33.829529	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.055256	19.591774	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.331007	20.753364	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.961237	32.38078	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.009475	31.848567	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.340826	20.699707	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.307411	34.603497	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.0009	33.402061	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.684047	32.218378	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.071415	28.944783	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.071393	28.944806	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.903346	21.185088	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.820835	33.582299	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.847162	33.576871	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.679617	27.290128	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.148263	19.256256	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.07141	28.944711	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.904719	21.184147	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.071404	28.944695	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.077465	32.276492	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.218673	19.717123	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.071918	33.4196	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.072164	33.419405	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.384613	33.65327	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.034508	33.519753	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.562974	26.26692	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.6	22.7	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.212865	19.083935	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.617384	35.09753	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.843481	33.259451	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.596959	26.075012	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-107.61223	32.185975	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-108.712881	29.841364	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.932752	33.421142	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.141095	19.387597	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.155908	19.274316	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.973286	34.341685	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.035242	33.43654	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.961153	19.935082	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-109.155656	31.904001	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.804446	20.687262	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.980648	19.333932	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.981445	19.33328	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.168568	19.34163	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.016554	19.253636	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-114.266502	35.237279	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.679373	27.290308	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.433483	28.292971	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.105933	19.960423	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.034537	19.37337	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-104.801239	31.90753	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.050302	19.59406	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-107.405981	24.812486	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.679522	27.290233	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.834927	20.883089	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.381372	20.763687	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.375991	20.760953	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.376122	20.76532	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.376975	20.760894	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.951357	35.691687	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.172596	19.391476	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.074413	31.722271	"unknown"	0	0	"none"
