"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"deserticola"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.23	23.44	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata carmenae van Rossem, 1945"	-111.17	26.02	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata carmenae van Rossem, 1945"	-111.12	26	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.59	25.02	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.25	23.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.35	24.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.8	24.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.34	24.32	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.43	24.04	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.38	34.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.05	25.68	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.8	25.63	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.58	25	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.12	26	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.85	24.66	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.12	25.36	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-113.03	28.88	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.25	25.78	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-113.05	28.87	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.28	24.07	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.25	23.95	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-109.69	23.06	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-109.8	22.96	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-116.26	31.14	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.25	24.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-109.85	23.94	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.59	27.41	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-109.44	23.39	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.81	24.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.13	24.73	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.12	25.73	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.08	23.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.22	24.91	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.77	24.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.31	24.14	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.84	24.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.83	24.5	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.33	24.42	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.84	24.66	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.58	24.84	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-111.85	24.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.42	24.47	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.63	24.83	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.88	28.38	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.31	24.16	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.35	24.5	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.3	24.12	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.3	24.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.32	24.13	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.34	24.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.59	24.88	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-109.71	23.06	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.31	24.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.47	27.38	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.51	27.41	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-113.15	26.88	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.22	23.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.89	27.3	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.25	27.22	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-112.3	27.37	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-110.31	24.27	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi Grinnell, 1927"	-109.86	24.24	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.23	23.44	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-109.43	23.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.25	23.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.31	24.16	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.3	24.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.08	23.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.22	23.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.3	24.12	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.85	24.66	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.8	24.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.89	27.3	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-109.69	23.06	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.05	25.68	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata"	-110.25	24.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.32	24.13	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.59	24.88	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-109.71	23.06	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.31	24.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.58	24.84	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.12	25.73	"bangsi"	0	1	1	"deserticola"
