"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-100.939405	21.799117	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.487386	28.258229	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.487802	28.257761	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.482845	28.259581	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.795081	33.773053	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.822071	33.728222	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.095529	19.869152	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.387889	34.070787	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.212053	34.201622	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-121.840055	39.32765	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-121.837811	39.325636	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.795365	33.839315	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.497998	28.260971	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.426858	36.151444	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.599889	33.07115	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.81055	33.741261	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.960856	32.379774	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.599654	33.070316	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.212272	34.201542	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.164769	32.318614	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.606846	33.458477	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.01327	34.100624	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.488773	28.257295	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.487754	28.257749	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.556817	20.486508	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-117.042613	32.839331	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-121.977	37.885	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-100.975646	25.431161	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.833688	32.288015	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.37329	34.014905	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.02627	36.104465	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.705984	34.102301	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.213596	33.000254	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.670731	34.448036	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-117.1595	34.089775	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-117.155862	34.089938	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.570175	34.049972	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.121773	20.014827	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.12606	20.015797	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-119.412049	36.789685	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-114.48613	32.998375	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-100.284989	20.579146	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.225368	32.85865	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.302365	32.951199	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.109452	34.34135	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.480429	28.263225	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-117.00748	32.85531	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.648711	33.547518	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.35736	33.241196	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.639703	38.935348	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-121.351992	38.572423	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.666505	33.537604	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.360483	36.439502	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.98071	32.340056	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.945913	32.352497	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.804643	20.68676	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-99.803964	20.686331	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.488644	28.257283	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.446394	32.372578	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.665795	33.855738	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.834347	32.287721	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.37545	33.69807	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.146787	32.540677	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-117.275613	34.510415	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.357053	33.238976	"unknown"	0	0	0	"none"
