"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-116.405883	33.257466	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.404417	33.313766	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.40588	33.669928	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.818401	30.497378	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.824917	30.496536	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.824948	30.49651	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.826821	30.509633	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.814759	30.508286	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.597033	32.302453	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.1334	33.366067	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.403775	33.668153	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.753782	32.470733	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.728711	24.913176	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.838738	33.761847	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.807024	33.735036	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.412281	33.671189	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.407564	33.271316	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.137579	26.580051	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.951976	28.974274	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.321504	24.320175	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.427017	33.177194	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.451	25.649416	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.419975	33.271706	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-105.121223	29.430407	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.54067	27.555402	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.786244	32.332435	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.043111	33.778303	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.048339	33.773867	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.985919	33.36289	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.797432	33.688026	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.631781	33.462607	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.388705	33.240549	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.671873	32.229137	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.376965	33.259415	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.762995	32.186451	"unknown"	0	0	"none"
