"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"nuttalli"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.04	36.48	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.78	33.65	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.6	26.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.95	33.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.43	28.29	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.77	34.01	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.33	34.16	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.36	34.16	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.84	39.62	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94	38.71	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.03	38.76	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.5	32.61	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.5	34.11	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.66	33.25	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.1	33.02	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.34	34.16	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.5	28.26	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.51	33.04	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.52	33.05	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.08	32.82	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.43	33.12	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.52	43.3	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.06	33.49	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.62	33.18	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.97	39.69	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.25	31.63	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.12	34.79	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.3	48.41	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.32	48.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.2	43.64	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.61	33.61	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-92.73	31.53	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.41	33.26	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.39	33.36	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.31	33.21	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.32	33.21	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.19	33.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.36	33.25	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.16	34.26	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.39	33.29	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.61	34.51	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.37	34.52	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.25	34.53	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.79	29.19	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.29	32.91	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.92	34.28	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112.28	33.13	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.34	41.28	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.89	33.51	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.67	43.56	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.12	41.82	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-102.07	32.03	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-111.94	41.02	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.54	49.09	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.86	33.61	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-86.95	41.14	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.44	33.6	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.6	33.31	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.25	46.08	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.4	34.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.1	43.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.36	36.1	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-110.14	31.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.08	41.82	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.84	29.97	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.63	43.69	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.59	43.68	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.9	47.06	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.86	35.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.98	33.66	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.12	32.99	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.18	40.19	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.95	33.59	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.11	28.97	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.6	30.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.6	30.46	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.51	31.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.15	44.09	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.92	33.68	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.22	34	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-76	39.23	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.7	33.36	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-106.68	35.13	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.82	40.76	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.98	45.5	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-75.28	38.88	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.92	33.5	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-91.58	34.59	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112	33.36	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-106.3	23.13	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.02	32.28	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.99	33.36	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.06	49.25	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112.29	33.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.02	43.81	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112.5	33.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.21	33.92	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.81	33.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.16	33.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-87.8	34.79	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.59	43.7	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.97	43.35	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.33	29.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.43	48.67	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.56	29.33	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.24	33.03	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.21	33.34	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.82	49.21	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-106.86	33.83	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.35	48.41	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.07	28.94	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.61	33.46	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.78	33.73	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.71	32.7	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.63	32.97	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.48	33.83	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.13	29.16	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.23	30.8	"unknown"	0	0	0	"none"
