"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"gambelii"	"pugetensis"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.31	41.7	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-76.73	43.02	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.83	41.54	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.22	41.2	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.69	39.29	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.01	40.57	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.14	41.37	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-76.76	42.44	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.55	39.2	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.4	39.37	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-76.76	44.23	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-85.13	41.15	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.71	44.36	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.55	42.68	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-81.38	40.88	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-85.04	41.2	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.82	40.77	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.42	41.67	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-78.97	43.84	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-87.64	41.95	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.4	43.64	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.32	39.3	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.78	43.27	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.22	43.54	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-78.03	41.42	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-81.83	41.48	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.08	41.86	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.35	44.17	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-75.92	40.93	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.5	39.01	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-83.54	41.67	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.45	39.14	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-80.01	45.35	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-87.58	41.78	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-86.93	40.52	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-87.64	41.96	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.23	42.39	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-84.88	43.61	"unknown"	1	0	0	1	"leucophrys"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.31	43.66	"unknown"	1	0	0	1	"leucophrys"
