"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"velox"	"numSubsppGroups"	"assigned"
"Geococcyx californianus (Lesson, 1829)"	-119.76	34.46	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.85	33.66	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.31	33.65	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.77	32.18	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.16	34.02	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.83	32.23	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.78	33	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.32	33.18	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.81	32.32	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-118.81	34.22	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.24	34.47	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.73	33.54	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.52	34.1	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-118.81	34.23	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.49	33.95	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.8	34.08	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.77	33.81	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.86	32.83	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-119.53	34.89	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-118.79	34.22	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.39	33.76	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.98	32.23	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.58	33.9	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.36	34.14	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.73	32.28	"unknown"	1	0	1	"californianus"
