"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
"2:11" -97.51 18.33 18.8521766662598 14.6225624084473 67.7833404541016 192.898330688477 29.786750793457 8.21424961090088 21.5725021362305 19.8484992980957 16.3494167327881 21.1525840759277 16.3494167327881 514 126 4 94.1730041503906 270 16 207 16 1
"2:12" -103.92 20.63 20.789155960083 18.1471042633057 63.3904571533203 267.094909667969 34.609001159668 5.98150014877319 28.6275005340576 23.1130409240723 20.0977916717529 23.6886672973633 17.2000827789307 828 212 3 112.795478820801 552 18 403 40 1
"2:13" -102.72 21.74 17.2195415496826 16.1804161071777 62.7865829467773 283.092224121094 29.8264999389648 4.05599975585938 25.7705001831055 19.8057918548584 16.2841243743896 20.3432922363281 13.4232082366943 653 172 3 110.198715209961 427 15 301 39 1
"2:14" -89.12 21.33 25.7226886749268 13.0087089538574 68.6692810058594 191.85124206543 34.9780006408691 16.0340003967285 18.9440002441406 27.1109580993652 25.2103748321533 27.6366672515869 23.0406665802002 847 151 18 65.2999801635742 381 74 297 109 1
"2:15" -88.78 14.87 22.2836151123047 10.3663539886475 66.7720031738281 153.028106689453 30.6065006256104 15.0815000534058 15.5250005722046 22.988166809082 22.5754165649414 23.9969177246094 20.2548751831055 1595 274 23 68.8435134887695 682 95 455 244 1
"2:16" -89.61 21.25 25.9495868682861 11.1588754653931 66.0469970703125 192.557907104492 34.2746124267578 17.3792572021484 16.8953552246094 26.9562950134277 25.3263664245605 27.8741989135742 23.2405052185059 751 137 21 61.2779922485352 321 71 239 104 1
"2:17" -97.37 18.71 12.8573331832886 15.198166847229 71.9363174438477 159.123046875 23.4260005950928 2.29874992370605 21.1272506713867 13.7129163742065 10.7714166641235 14.6986665725708 10.7714166641235 494 98 6 79.0689849853516 238 26 184 26 1
"2:18" -98.8 19.48 11.4437398910522 13.6314792633057 70.9529418945312 153.000778198242 20.6082496643066 1.39625000953674 19.2119998931885 12.5098752975464 9.33241653442383 13.1040830612183 9.33241653442383 973 180 12 85.8711700439453 525 42 297 42 1
"2:19" -89.77 19.41 25.5584697723389 13.6339797973633 66.2342071533203 211.890197753906 35.8932495117188 15.3087501525879 20.5844993591309 26.3120422363281 23.6096668243408 27.7889995574951 22.6741256713867 1111 212 22 70.4818878173828 522 81 291 87 1
"2:20" -86.87 13.96 20.3892078399658 10.6263332366943 66.9670639038086 156.651031494141 28.2422504425049 12.3742504119873 15.8680000305176 21.1478748321533 19.113000869751 21.9892501831055 18.2142086029053 1231 221 14 80.8738479614258 556 48 424 58 1
