"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"numSubsppGroups"	"assigned"
"Toxostoma crissale crissale"	-115.19	32.36	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.58	33.03	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-114.56	32.82	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.66	33.08	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-110.87	32.26	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.83	32.25	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.33	32.02	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-108.27	32.78	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.6	32.24	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-110.49	32.43	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-112.07	33.45	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.91	33.41	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-110.41	33.4	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-116.27	33.74	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-104.43	33.31	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-110.64	31.94	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.39	31.85	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.51	31.59	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.49	32.64	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-106.91	32.48	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.33	31.5	"crissale"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-102.14	26.97	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-102.19	26.82	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-104.38	23.55	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-101.02	25.02	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.92	25.37	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.83	25.35	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.89	25.32	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.89	25.38	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.89	25.36	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.81	25.43	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-103.77	23.76	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-100.81	22.32	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum"	-103.77	23.76	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum"	-101.02	25.02	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum"	-104.38	23.55	"dumosum"	1	1	"coloradense"
"Toxostoma crissale dumosum"	-100.89	25.36	"dumosum"	1	1	"coloradense"
"Toxostoma crissale trinitatis"	-115.55	31.33	"trinitatis"	1	1	"coloradense"
"Toxostoma crissale trinitatis"	-115.72	31.38	"trinitatis"	1	1	"coloradense"
"Toxostoma crissale trinitatis"	-115.77	31.39	"trinitatis"	1	1	"coloradense"
"Toxostoma crissale trinitatis"	-115.72	31.4	"trinitatis"	1	1	"coloradense"
