"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-111.44	25.98	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.38	26	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.37	25.92	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.5	24.09	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.47	32.1	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-103.75	25.34	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-103.77	25.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.44	24.24	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.75	24.71	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.9	24.91	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-109.92	27.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.4	33.45	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.5	23.97	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.36	25.93	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.35	25.94	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-109.24	26.37	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.43	23.42	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-112.6	26.38	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-112.48	26.24	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-109.01	27.03	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-108.91	26.91	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.35	26.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-108.91	27.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-103.88	32.38	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-109.45	27.08	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.5	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.7	25.48	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.7	25.7	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.12	28.6	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.12	28.59	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.38	28.34	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.45	28.16	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.77	25.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.9	29.1	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.5	28.24	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.43	28.29	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.47	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.73	25.45	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.58	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.57	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.7	25.71	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.76	25.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.77	25.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.77	25.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.49	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.51	28.24	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.14	28.62	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.81	26.81	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.73	25.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-102.63	21.12	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.61	24.05	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.44	28.29	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.73	25.29	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.73	25.44	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.35	28.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.43	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.61	28.45	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.11	26.3	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.93	27.52	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.25	27.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-101.11	20.23	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.82	24.67	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.31	23.94	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.73	24.02	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.69	24.02	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.38	23.47	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.42	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.41	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.11	28.6	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.34	25.99	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.49	28.18	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.05	25.69	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.73	25.46	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.09	28.66	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.18	28.72	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.17	28.73	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.05	25.99	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.46	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.19	27.05	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.2	27.05	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.36	26.02	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.72	25.46	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.39	28.41	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.51	28.22	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.51	28.23	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.67	24.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.16	26.58	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.34	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.35	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.49	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.51	28.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.44	28.44	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.35	26.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.46	28.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.42	28.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.48	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.03	25.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.59	28.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.47	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.43	28.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.34	26.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.36	25.94	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.08	26.19	"unknown"	0	0	0	"none"
