"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"hidalgensis"	"lamprocephalus"	"ornatus"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-116.37	33.65	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.45	33.03	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.36	33.76	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.31	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.21	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.21	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.32	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.26	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.44	33.24	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.42	33.74	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.54	33.84	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.57	34.05	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.15	34.03	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.49	33.79	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.28	33.6	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.7	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.52	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.55	33.75	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.48	32.63	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.16	34.12	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.27	33.92	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.42	33.28	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.73	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
