"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-100.86	25.44	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-116.2	33.73	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.91	33.32	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-116.5	33.81	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.42	28.32	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.28	24.28	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.43	28.31	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-103.41	25.62	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.97	32.29	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-99.8	20.69	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.92	32.21	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.63	33.85	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-117.16	34.09	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-114.6	32.72	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-117.19	34.51	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.74	33.36	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.16	33.28	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-108.06	25.47	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.83	32.29	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-114.46	32.68	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.29	24.26	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-115.03	36.1	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-115	36.08	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-118.04	33.71	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-115.01	36.08	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	33.67	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-102.6	22.7	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.99	32.34	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.21	33.81	"unknown"	0	0	"none"
