"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"melanura"	"lucida"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-103.15	29.26	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.36	29.21	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.42	29.16	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.47	29.53	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.28	29.27	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.3	29.26	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.96	29.5	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.3	29.23	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.29	29.25	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.31	29.24	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-104.68	29.98	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.08	29.49	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-104.57	29.88	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.77	29.27	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.45	29.32	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-104.53	29.99	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.26	30.17	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-104.17	29.55	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.42	29.24	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-100.42	29.3	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.26	29.34	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-104.33	29.55	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-102.93	29.19	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.52	29.42	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.4	29.24	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.17	29.37	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-103.35	29.34	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura Lawrence, 1857"	-104.16	29.55	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.47	29.49	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.57	28.6	"unknown"	0	1	0	1	"melanura"
