"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"melanura"	"lucida"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-115.05	36.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.49	31.78	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.26	36.32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.98	34.67	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.07	28	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.04	32.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.28	31.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.08	32.65	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.32	36.16	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.57	31.69	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.33	32.73	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-104.44	24.24	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.45	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.08	31.87	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.8	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.98	37.11	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.56	32.36	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.51	31.59	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.26	31.36	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.05	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.07	27.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.95	36.19	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.62	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.16	31.68	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.59	32.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.19	35.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.61	32.17	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.55	32.43	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.9	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.57	32.92	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.03	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.26	20.68	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.41	31.86	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.06	31.81	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.02	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.46	35.6	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.98	31.73	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.03	36.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.59	32.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.79	31.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.99	36.2	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.23	20.65	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.72	32.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.21	32.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.64	31.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.69	36.39	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.93	32.03	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.6	32.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.31	36.21	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.71	36.71	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.97	32.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.31	32.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.91	32.26	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.43	36.16	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.85	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.69	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.9	32.45	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.76	30.88	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.32	36.41	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.75	32.35	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.45	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.31	32.87	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.89	33.82	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.86	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.26	35.62	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.48	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.7	30.62	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.75	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.72	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.73	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.76	31.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.73	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.74	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.02	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.05	31.92	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.99	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.91	27.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.06	32.23	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.06	32.22	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.07	32.22	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.09	32.22	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.1	32.21	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.07	36.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.41	35.31	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.51	31.92	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.8	32.02	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115	36.05	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.26	32.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.33	36.41	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.55	32.38	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.4	35.31	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.66	32.19	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.6	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.06	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-117.08	34.68	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.02	37.14	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.04	31.83	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.19	36.17	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.76	31.98	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.16	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.62	32.21	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.56	32.37	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.89	36.13	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.47	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.36	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.33	36.42	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.58	36.69	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.91	32.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.9	32.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.58	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.54	31.82	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.42	36.05	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.09	31.79	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.82	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.11	32.2	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.41	31.78	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.51	36.43	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.28	32.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.89	32.03	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.86	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.29	31.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-117.52	36.32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.85	32.02	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.71	32.25	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.5	36.16	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.43	31.86	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.04	29.69	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.25	32.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.32	36.23	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.72	32.26	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.44	31.7	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.99	36.98	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.25	31.35	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.09	36.79	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.43	36.15	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.49	31.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.28	36.4	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.57	36.68	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.44	36.16	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.31	31.66	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.61	31.83	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.73	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.16	31.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.21	32.05	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.21	32.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.89	36.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.22	32.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.22	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.21	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.2	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.43	36.14	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.82	32.25	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.97	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-117.06	34.67	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.81	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.8	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.84	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.82	31.89	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.85	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.42	36.15	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.86	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.88	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.87	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.89	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.01	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.98	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.01	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.11	35.54	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.06	35.51	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.19	32.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.53	32.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.95	27.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.28	31.35	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.24	32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.45	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.57	29.87	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.5	31.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.19	31.87	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.34	23.79	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.98	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.16	36.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.08	35.55	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.96	37.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.04	35.49	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.43	35.3	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.06	36.05	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.09	36.7	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.12	31.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.8	36.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.8	36.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.14	36.51	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.61	36.27	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.92	32.55	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.46	37.29	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.18	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.14	31.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-110.9	27.89	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-113.6	37.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.01	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.02	36.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-106.74	32.47	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.13	31.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.09	31.89	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.42	36.14	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.1	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.02	36.11	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.01	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-111.12	30.54	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.78	31.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.36	36.44	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.81	31.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.17	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-116.2	35.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.71	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-113.29	31.26	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.81	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-110.93	31.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-115.46	36.15	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.13	31.92	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-113.53	31.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-109.52	31.59	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.72	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.58	28.7	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.8	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-116.27	35.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.73	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-116.27	36.4	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-116.3	36.4	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-114.98	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-112.77	32.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-113.93	37.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-114.42	31.65	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-114.43	31.64	"unknown"	0	0	0	0	"none"
"Polioptila melanura"	-114.54	36.51	"unknown"	0	0	0	0	"none"
