"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.644683	33.546832	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.065856	33.086628	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.962061	36.993788	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.83601	33.083495	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.231428	32.789368	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.225394	32.760075	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.214238	34.201677	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.3978	48.473471	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.400036	48.477242	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.300455	48.424892	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.300523	48.42489	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.410306	33.266758	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.39872	48.474525	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.212392	34.201801	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.828865	39.753446	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.022464	36.974239	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.248731	32.754886	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.330977	47.789785	"unknown"	0	0	"none"
