"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
-120.83 36.58 15.8264579772949 18.4785003662109 51.5813446044922 647.914184570312 36.203498840332 0.37950000166893 35.8239974975586 9.39008331298828 23.7236671447754 24.0385837554932 8.34316635131836 320 58 1 84.659065246582 165 5 13 165 1
-115.31 32.47 22.0143547058105 16.0734996795654 47.9323081970215 692.633361816406 39.53125 5.99749994277954 33.533748626709 13.8094167709351 24.0747089385986 30.7338333129883 13.8094167709351 58 9 0 56.0678100585938 24 2 17 24 1
-111.65 33.55 21.1018028259277 16.3275203704834 44.6390686035156 793.977478027344 40.4210014343262 3.84424996376038 36.5767517089844 13.0150413513184 23.9915008544922 30.8763332366943 11.7836246490479 352 44 4 45.622745513916 114 24 81 114 1
-112.24 33.17 21.422155380249 15.542854309082 42.9369506835938 811.0029296875 40.3562507629395 4.15700006484985 36.1992492675781 31.0692501068115 24.8845825195312 31.536958694458 11.8705415725708 225 35 3 48.7629356384277 81 14 62 70 1
-114.37 32.62 23.1900100708008 16.3338966369629 45.4850158691406 771.713745117188 41.6525001525879 5.74200010299683 35.9104995727539 29.4088325500488 26.194917678833 32.7122917175293 14.0141668319702 95 16 1 51.606143951416 37 5 25 31 1
-118.67 34.45 16.7284889221191 15.0244789123535 52.294979095459 500.127288818359 32.8785018920898 4.14825010299683 28.7302513122559 11.5827083587646 22.6780414581299 23.3748340606689 11.1858329772949 429 90 0 97.3119888305664 250 5 10 240 1
-114.49 33 23.7814998626709 15.0772504806519 43.402759552002 781.635864257812 41.5762481689453 6.83825016021729 34.7379989624023 30.4820423126221 26.5953750610352 33.3906669616699 14.4933338165283 96 16 1 53.8109931945801 38 5 36 32 1
-116.3 32.95 20.0296669006348 16.3424587249756 47.5631446838379 686.850341796875 38.7887496948242 4.42924976348877 34.3595008850098 13.1019582748413 25.6187076568604 28.8887920379639 12.1957912445068 210 38 2 72.3928146362305 107 11 25 105 1
-118.11 34.34 13.9516248703003 13.3715829849243 43.4209289550781 683.018859863281 31.5494995117188 0.75424998998642 30.7952499389648 7.03991651535034 22.515625 22.8604583740234 6.37804126739502 504 99 2 90.7112274169922 276 11 22 273 1
-111.15 32.54 19.4468441009521 14.5747289657593 44.0623664855957 742.034423828125 36.5322494506836 3.45475006103516 33.0774993896484 28.1498336791992 22.5357494354248 28.5203323364258 10.6356248855591 406 65 6 52.6347427368164 163 26 129 116 1
-117.28 34.51 16.2384052276611 17.5414791107178 47.1475448608398 723.737731933594 36.5509986877441 -0.654500007629395 37.2054977416992 9.18720817565918 22.7962493896484 25.3387088775635 7.8133749961853 161 27 1 65.901481628418 77 10 12 74 1
-118.86 35.44 18.5944786071777 15.9957084655762 45.0326461791992 725.377075195312 37.8577499389648 2.33750009536743 35.5202484130859 11.6618747711182 27.5550422668457 27.5550422668457 9.98141670227051 187 37 0 79.0202178955078 99 4 4 84 1
-111.23 32.42 20.7939472198486 17.1275196075439 47.1225662231445 762.950378417969 39.1834983825684 2.83675003051758 36.3467483520508 29.7623748779297 24.1281661987305 30.1605834960938 11.6777086257935 283 50 5 57.4084510803223 124 18 99 74 1
-117.6 33.65 17.0107402801514 13.4484796524048 54.6630592346191 401.975067138672 30.331750869751 5.72924995422363 24.6025009155273 12.8541250228882 21.5601673126221 22.4223747253418 12.6307506561279 362 73 1 94.031982421875 214 6 14 197 1
-120.28 34.73 14.9116144180298 15.403395652771 61.5526466369629 343.941101074219 28.39674949646 3.37199997901917 25.0247497558594 11.3529167175293 18.719165802002 19.3812084197998 11.0243330001831 473 97 0 96.1247787475586 275 2 9 260 1
-117.85 33.66 16.9346179962158 9.19467449188232 53.4527359008789 298.027923583984 25.0894737243652 7.88796997070312 17.2015037536621 13.8236846923828 20.1843357086182 20.8334579467773 13.5671682357788 319 70 0 99.2183456420898 198 5 11 184 1
-112.06 26.99 23.9830780029297 14.200553894043 50.4338760375977 572.986328125 38.057544708252 9.90076732635498 28.1567764282227 30.9976119995117 25.5393447875977 30.9976119995117 17.0807762145996 170 45 0 103.63623046875 108 1 108 39 1
-118.6 34.02 16.5626468658447 12.5815019607544 53.7919960021973 391.188781738281 29.8691082000732 6.47993612289429 23.3891716003418 12.5521764755249 20.9201698303223 21.9374198913574 12.4454355239868 410 88 1 99.410285949707 237 4 9 234 1
-115.77 34 20.6611976623535 16.6949367523193 44.3092155456543 791.032592773438 40.841251373291 3.16300010681152 37.6782531738281 30.3027496337891 23.7307090759277 30.6291675567627 11.4284582138062 121 19 1 48.4290351867676 42 7 32 41 1
-113.25 32.51 23.0697498321533 16.8822917938232 45.5302925109863 801.917114257812 42.0087509155273 4.92950010299683 37.0792503356934 32.7179565429688 26.3086242675781 32.9438743591309 13.5439167022705 145 23 1 52.5980186462402 58 7 39 43 1
-116.23 32.87 20.0296669006348 16.3424587249756 47.5631446838379 686.850341796875 38.7887496948242 4.42924976348877 34.3595008850098 13.1019582748413 25.6187076568604 28.8887920379639 12.1957912445068 210 38 2 72.3928146362305 107 11 25 105 1
