"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-101.35718	20.685674	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.105052	19.583548	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.309475	20.739692	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.045683	19.464259	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.045483	19.464281	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.045642	19.464328	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.681236	19.279028	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.309523	20.739778	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.195946	19.314694	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.992934	25.335047	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.587706	20.701783	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.900273	36.198725	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.281536	31.580842	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.913162	35.491815	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.88131	32.216458	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.281481	31.580825	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.281532	31.580829	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.963693	35.617625	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.926448	35.549791	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.281839	31.580664	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.960155	35.607805	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.937431	35.57977	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.92792	35.566446	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.966536	35.626893	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.43873	20.676796	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.35259	34.591674	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.290504	38.442047	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.802235	20.685393	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.797432	33.688026	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.699491	32.336068	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.796426	34.873763	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.913445	32.425358	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.788779	33.683523	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-107.14916	35.55162	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.597772	26.539729	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.186709	19.341346	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.019564	31.87113	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.909802	32.337317	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.341507	20.697437	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.358871	20.706786	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.011951	19.594456	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.184259	19.684568	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.499596	34.541626	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.297641	20.651708	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.598365	26.539008	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.722988	25.23586	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.788178	19.82247	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.872805	34.84682	"unknown"	0	0	"none"
"Melozone fusca mesoleuca (S.F.Baird, 1854)"	-111.872805	34.84682	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.766555	34.806197	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.804462	30.444285	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.847947	23.20015	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.182931	19.68481	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.184995	19.315252	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.399702	20.662651	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.095607	19.295141	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.499648	34.541618	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.48739	34.482972	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.82629	33.78057	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.189586	35.821854	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.117013	19.197929	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.721617	25.231914	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.519717	19.424535	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.095368	19.869473	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-98.190486	18.980818	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.219259	19.699294	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.64146	38.380758	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.113583	19.169152	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-109.49904	32.23643	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.989079	25.109459	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.838995	35.512482	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.193137	19.68762	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.192238	19.684897	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.988928	25.109923	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.726713	31.552295	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.140306	19.506317	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.999937	25.340618	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.490354	37.739349	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.221011	19.698151	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.221132	19.69809	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.804493	20.687118	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.837094	35.510535	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.023864	33.600578	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.481792	35.068668	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.160178	33.279495	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.93478	30.596314	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.557108	25.390301	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.338733	20.699086	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.192452	19.6864	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.338921	20.699827	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.705044	20.399557	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.76099	34.86974	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.202901	19.686413	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.838905	35.512862	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.194043	19.693997	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.800783	33.692525	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.646971	32.226597	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.873047	34.84685	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.140217	19.482367	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.004352	19.256229	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.804217	30.445786	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.933762	30.595364	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.847397	32.580488	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.692648	22.524489	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.691361	22.525509	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.566071	22.185589	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.001133	22.128676	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.658808	21.098342	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.52837	20.017838	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.045681	19.464336	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.714953	22.639968	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.164538	19.359828	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.141869	31.547751	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.045691	19.464264	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.094822	19.295985	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.210293	19.498452	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.210736	19.499766	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.210526	19.500061	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.208774	19.498461	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.067336	19.463237	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.075633	19.462308	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.075204	19.46323	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.855767	32.334968	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.741314	32.580827	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.191722	19.469398	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.191946	19.469625	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.046083	19.464118	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.047101	19.465342	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.156449	21.559802	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.057122	19.592108	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.835575	30.541208	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.2435	19.3922	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.096	19.2933	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.518783	33.585187	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.20949	19.30401	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-98.189503	18.979677	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.242203	19.494612	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.45202	20.632067	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.460747	20.628492	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.079941	30.619732	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.668038	35.521303	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.668209	35.521262	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.208855	19.49851	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.989707	25.336681	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.202933	19.686376	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-109.79013	35.049317	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.838782	35.512339	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.765807	22.3606	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.092361	19.46863	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.799338	33.693074	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.724245	20.917323	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.474094	35.13356	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.839115	35.512837	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.836266	35.514408	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.109228	34.449333	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.676433	34.973753	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.142803	31.548279	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.669769	20.083722	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.694042	20.172027	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.397383	20.664005	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.835622	35.511471	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.16664	32.24706	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.486374	35.107037	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.126313	19.277224	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.22098	19.697978	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.584817	19.247078	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.092475	34.441662	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.46688	29.49188	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.517676	33.607449	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.505887	31.571695	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.201939	19.686134	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.399832	24.881688	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.340976	20.533059	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.368297	24.873531	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.210255	19.303578	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.076316	19.477951	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.191799	19.693945	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.205414	19.599132	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.300199	29.270482	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.939455	30.593145	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-110.334755	31.920378	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.017516	33.826406	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.544547	20.653446	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.189982	19.691095	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-109.144439	31.914395	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.612434	19.713858	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.311098	23.94025	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.234445	19.697582	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.454343	33.53267	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.790562	21.260808	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.6449	22.735873	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.016988	19.252592	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.558533	33.610865	"unknown"	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.04851	32.198824	"unknown"	0	0	"none"
